slang_term,standard_form,polarity,confidence
ফাটাফাটি,অসাধারণ,positive,High
ঘ্যামা,চমৎকার,positive,High
ঝস,দারুণ,positive,High
জস,অসাধারণ,positive,High
ল্যাদখোর,অলস,negative,High
ল্যাদ,আলস্য,negative,High
ছাতার মাথা,বাজে,negative,High
বখাটে,বাজে ছেলে,negative,Medium
উরাধুরা,অগোছালো,negative,Medium
অস্থির,খুব ভালো,positive,High
সেরা,উৎকৃষ্ট,positive,High
বালের,নিকৃষ্ট,negative,High
তৈলাক্ত,চাটুকার,negative,Medium
ভুয়া,মিথ্যা,negative,High
মাথা নষ্ট,অবিশ্বাস্য,positive,High
চরম,খুব ভালো,positive,High
ফালতু,অকেজো,negative,High
ঝাক্কাস,দারুণ,positive,Medium
বাজে,খারাপ,negative,High
জঘন্য,অত্যন্ত খারাপ,negative,High
চুদখোর,অর্থ,negative,High
বেকারই,অর্থ,negative,Low
মহাচুদ,অর্থ,negative,High
চুদই,অর্থ,negative,Low
পুরোবেকার,অর্থ,negative,Medium
বেকারখোর,অর্থ,negative,High
দারুণপাগল,অর্থ,neutral,Medium
পাগলখোর,অর্থ,neutral,High
চুদখোর,অর্থ,negative,Medium
একদমফালতু,অর্থ,neutral,Low
একদমচুদ,অর্থ,negative,High
পুরোফালতু,অর্থ,neutral,Medium
মহাবেকার,অর্থ,negative,Low
মহাবেকার,অর্থ,negative,High
চুদবাজ,অর্থ,negative,Low
জটিলখোর,অর্থ,positive,High
মহাফালতু,অর্থ,neutral,Low
অতিপাগল,অর্থ,neutral,High
চরমটা,অর্থ,neutral,Low
মহাজটিল,অর্থ,positive,High
একদমবাল,অর্থ,negative,Medium
চুদখোর,অর্থ,negative,High
চরমবাজ,অর্থ,neutral,High
ফালতুখোর,অর্থ,neutral,Low
একদমঅস্থির,অর্থ,positive,Medium
অতিবেকার,অর্থ,negative,Low
চরমই,অর্থ,neutral,High
একদমপাগল,অর্থ,neutral,Low
চুদবাজ,অর্থ,negative,Low
মহাফালতু,অর্থ,neutral,Low
পুরোচুদ,অর্থ,negative,Medium
জটিলবাজ,অর্থ,positive,High
চরমখোর,অর্থ,neutral,Low
মহাপাগল,অর্থ,neutral,Low
পুরোফালতু,অর্থ,neutral,Low
বেকারটা,অর্থ,negative,Low
একদমবাল,অর্থ,negative,High
দারুণচুদ,অর্থ,negative,High
বালই,অর্থ,negative,High
পুরোচরম,অর্থ,neutral,High
পুরোপাগল,অর্থ,neutral,High
পুরোফালতু,অর্থ,neutral,Medium
অতিবেকার,অর্থ,negative,Low
ফালতুখোর,অর্থ,neutral,Medium
চরমটা,অর্থ,neutral,High
জটিলটা,অর্থ,positive,Low
বেকারই,অর্থ,negative,High
দারুণচুদ,অর্থ,negative,High
বেকারবাজ,অর্থ,negative,High
পুরোপাগল,অর্থ,neutral,Low
চরমবাজ,অর্থ,neutral,Medium
বেকারবাজ,অর্থ,negative,Medium
অস্থিরই,অর্থ,positive,Low
চুদখোর,অর্থ,negative,High
বেকারবাজ,অর্থ,negative,High
অস্থিরবাজ,অর্থ,positive,High
চুদই,অর্থ,negative,High
অতিবাল,অর্থ,negative,High
অস্থিরটা,অর্থ,positive,Medium
বালই,অর্থ,negative,Medium
একদমফালতু,অর্থ,neutral,Medium
পুরোঅস্থির,অর্থ,positive,Low
চরমখোর,অর্থ,neutral,High
পুরোবাল,অর্থ,negative,High
জটিলবাজ,অর্থ,positive,Low
পাগলই,অর্থ,neutral,High
অতিচুদ,অর্থ,negative,Medium
পুরোচুদ,অর্থ,negative,High
একদমবাল,অর্থ,negative,Low
অতিজটিল,অর্থ,positive,Low
জটিলবাজ,অর্থ,positive,High
ফালতুই,অর্থ,neutral,High
পুরোচরম,অর্থ,neutral,High
পুরোচুদ,অর্থ,negative,Medium
মহাপাগল,অর্থ,neutral,High
জটিলবাজ,অর্থ,positive,Low
পুরোফালতু,অর্থ,neutral,High
মহাফালতু,অর্থ,neutral,High
ফালতুই,অর্থ,neutral,Low
পাগলটা,অর্থ,neutral,Low
জটিলখোর,অর্থ,positive,Low
চরমই,অর্থ,neutral,High
মহাঅস্থির,অর্থ,positive,High
দারুণজটিল,অর্থ,positive,High
একদমচরম,অর্থ,neutral,Low
বালটা,অর্থ,negative,Low
পুরোবাল,অর্থ,negative,Low
পাগলই,অর্থ,neutral,Medium
মহাজটিল,অর্থ,positive,Medium
মহাবেকার,অর্থ,negative,Medium
অতিঅস্থির,অর্থ,positive,High
অতিপাগল,অর্থ,neutral,Medium
বালখোর,অর্থ,negative,Medium
বেকারই,অর্থ,negative,Medium
অতিবাল,অর্থ,negative,High
চরমটা,অর্থ,neutral,High
একদমবাল,অর্থ,negative,Medium
দারুণফালতু,অর্থ,neutral,Medium
পুরোঅস্থির,অর্থ,positive,Medium
বালখোর,অর্থ,negative,High
ফালতুবাজ,অর্থ,neutral,Medium
জটিলই,অর্থ,positive,Medium
বেকারবাজ,অর্থ,negative,High
বেকারই,অর্থ,negative,Low
মহাজটিল,অর্থ,positive,Low
একদমফালতু,অর্থ,neutral,Medium
পুরোঅস্থির,অর্থ,positive,High
বেকারবাজ,অর্থ,negative,Low
দারুণপাগল,অর্থ,neutral,Medium
বালটা,অর্থ,negative,Medium
জটিলবাজ,অর্থ,positive,Low
অতিবেকার,অর্থ,negative,Low
চুদখোর,অর্থ,negative,High
অতিবেকার,অর্থ,negative,High
পাগলটা,অর্থ,neutral,Medium
চুদটা,অর্থ,negative,Low
অস্থিরটা,অর্থ,positive,High
মহাবাল,অর্থ,negative,Medium
বেকারবাজ,অর্থ,negative,High
মহাবেকার,অর্থ,negative,Medium
পুরোপাগল,অর্থ,neutral,Low
একদমজটিল,অর্থ,positive,Low
পুরোঅস্থির,অর্থ,positive,Medium
একদমপাগল,অর্থ,neutral,Medium
দারুণফালতু,অর্থ,neutral,Low
দারুণচরম,অর্থ,neutral,Medium
অতিচুদ,অর্থ,negative,Medium
জটিলই,অর্থ,positive,High
পাগলটা,অর্থ,neutral,Low
বেকারবাজ,অর্থ,negative,Medium
চরমটা,অর্থ,neutral,Medium
পুরোঅস্থির,অর্থ,positive,Low
পুরোবাল,অর্থ,negative,Medium
চরমখোর,অর্থ,neutral,Medium
একদমঅস্থির,অর্থ,positive,Low
বেকারখোর,অর্থ,negative,Medium
চরমখোর,অর্থ,neutral,Low
একদমঅস্থির,অর্থ,positive,High
পুরোবাল,অর্থ,negative,Low
বালবাজ,অর্থ,negative,High
চরমখোর,অর্থ,neutral,Medium
জটিলখোর,অর্থ,positive,Medium
অস্থিরবাজ,অর্থ,positive,Medium
চুদই,অর্থ,negative,Medium
মহাবেকার,অর্থ,negative,High
বেকারই,অর্থ,negative,Low
পাগলবাজ,অর্থ,neutral,Low
অতিচুদ,অর্থ,negative,Medium
অতিফালতু,অর্থ,neutral,Low
অতিচুদ,অর্থ,negative,Medium
দারুণচুদ,অর্থ,negative,Low
অস্থিরটা,অর্থ,positive,High
বেকারখোর,অর্থ,negative,Low
পুরোচুদ,অর্থ,negative,High
দারুণজটিল,অর্থ,positive,High
জটিলবাজ,অর্থ,positive,Medium
চুদখোর,অর্থ,negative,Low
একদমচরম,অর্থ,neutral,High
পুরোফালতু,অর্থ,neutral,Medium
চরমখোর,অর্থ,neutral,Medium
মহাবেকার,অর্থ,negative,Medium
চরমবাজ,অর্থ,neutral,Low
অস্থিরবাজ,অর্থ,positive,Medium
পাগলখোর,অর্থ,neutral,Medium
জটিলখোর,অর্থ,positive,Low
অতিবাল,অর্থ,negative,High
একদমবেকার,অর্থ,negative,Low
একদমবেকার,অর্থ,negative,Medium
বালটা,অর্থ,negative,Medium
বেকারখোর,অর্থ,negative,Medium
জটিলখোর,অর্থ,positive,Medium
চরমখোর,অর্থ,neutral,High
দারুণচুদ,অর্থ,negative,High
পাগলবাজ,অর্থ,neutral,Medium
অতিফালতু,অর্থ,neutral,Medium
বেকারখোর,অর্থ,negative,High
পাগলই,অর্থ,neutral,Low
অতিফালতু,অর্থ,neutral,Low
চরমই,অর্থ,neutral,Low
ফালতুবাজ,অর্থ,neutral,Medium
দারুণপাগল,অর্থ,neutral,Medium
একদমচুদ,অর্থ,negative,Medium
মহাচুদ,অর্থ,negative,High
দারুণপাগল,অর্থ,neutral,High
বেকারবাজ,অর্থ,negative,Low
একদমবেকার,অর্থ,negative,Medium
চরমবাজ,অর্থ,neutral,Medium
মহাবাল,অর্থ,negative,High
বেকারই,অর্থ,negative,High
বেকারই,অর্থ,negative,High
বালবাজ,অর্থ,negative,Medium
বালখোর,অর্থ,negative,Low
চরমটা,অর্থ,neutral,Medium
বেকারটা,অর্থ,negative,Low
অতিপাগল,অর্থ,neutral,High
বালখোর,অর্থ,negative,Low
ফালতুবাজ,অর্থ,neutral,Low
দারুণফালতু,অর্থ,neutral,Low
চরমই,অর্থ,neutral,Medium
মহাজটিল,অর্থ,positive,High
পুরোবেকার,অর্থ,negative,Low
দারুণবাল,অর্থ,negative,Low
অতিবাল,অর্থ,negative,Medium
অতিচরম,অর্থ,neutral,Low
একদমঅস্থির,অর্থ,positive,High
চরমখোর,অর্থ,neutral,Medium
দারুণচুদ,অর্থ,negative,Medium
চরমবাজ,অর্থ,neutral,Low
বালখোর,অর্থ,negative,Medium
জটিলবাজ,অর্থ,positive,Low
পুরোবাল,অর্থ,negative,Medium
অস্থিরখোর,অর্থ,positive,Low
মহাচরম,অর্থ,neutral,High
দারুণফালতু,অর্থ,neutral,Medium
চরমটা,অর্থ,neutral,Low
পাগলই,অর্থ,neutral,Low
অস্থিরই,অর্থ,positive,Medium
অতিচুদ,অর্থ,negative,Medium
দারুণফালতু,অর্থ,neutral,Medium
অতিচরম,অর্থ,neutral,Medium
পাগলটা,অর্থ,neutral,High
একদমফালতু,অর্থ,neutral,Medium
দারুণফালতু,অর্থ,neutral,Low
পুরোফালতু,অর্থ,neutral,Low
একদমচরম,অর্থ,neutral,Low
চরমবাজ,অর্থ,neutral,Medium
অতিজটিল,অর্থ,positive,Low
অস্থিরবাজ,অর্থ,positive,High
একদমজটিল,অর্থ,positive,Medium
পাগলই,অর্থ,neutral,High
একদমজটিল,অর্থ,positive,High
চরমটা,অর্থ,neutral,Medium
পাগলখোর,অর্থ,neutral,Medium
দারুণঅস্থির,অর্থ,positive,Low
একদমঅস্থির,অর্থ,positive,Low
অতিবাল,অর্থ,negative,Low
মহাফালতু,অর্থ,neutral,Medium
মহাচুদ,অর্থ,negative,Medium
মহাপাগল,অর্থ,neutral,High
দারুণজটিল,অর্থ,positive,Medium
জটিলটা,অর্থ,positive,Low
অতিঅস্থির,অর্থ,positive,High
পাগলবাজ,অর্থ,neutral,Low
বেকারটা,অর্থ,negative,High
একদমচরম,অর্থ,neutral,Medium
একদমবাল,অর্থ,negative,Medium
পাগলখোর,অর্থ,neutral,Low
একদমফালতু,অর্থ,neutral,Low
ফালতুখোর,অর্থ,neutral,High
মহাঅস্থির,অর্থ,positive,High
পুরোঅস্থির,অর্থ,positive,Medium
ফালতুবাজ,অর্থ,neutral,Medium
মহাবাল,অর্থ,negative,Low
দারুণচরম,অর্থ,neutral,High
জটিলটা,অর্থ,positive,Low
অতিফালতু,অর্থ,neutral,Low
মহাচুদ,অর্থ,negative,Medium
চরমখোর,অর্থ,neutral,Low
পাগলখোর,অর্থ,neutral,Medium
অস্থিরটা,অর্থ,positive,Low
দারুণজটিল,অর্থ,positive,High
একদমফালতু,অর্থ,neutral,Medium
একদমজটিল,অর্থ,positive,High
অতিপাগল,অর্থ,neutral,Low
পুরোঅস্থির,অর্থ,positive,Medium
মহাচুদ,অর্থ,negative,Medium
চুদখোর,অর্থ,negative,Low
দারুণঅস্থির,অর্থ,positive,High
বেকারখোর,অর্থ,negative,Low
একদমবেকার,অর্থ,negative,Low
মহাফালতু,অর্থ,neutral,High
দারুণবাল,অর্থ,negative,Medium
চুদটা,অর্থ,negative,Medium
চরমবাজ,অর্থ,neutral,Low
মহাপাগল,অর্থ,neutral,Medium
দারুণঅস্থির,অর্থ,positive,High
জটিলবাজ,অর্থ,positive,High
জটিলখোর,অর্থ,positive,Low
জটিলখোর,অর্থ,positive,High
একদমচুদ,অর্থ,negative,High
পুরোবেকার,অর্থ,negative,High
অতিবাল,অর্থ,negative,High
বেকারটা,অর্থ,negative,Low
অতিবেকার,অর্থ,negative,Medium
পুরোপাগল,অর্থ,neutral,High
অতিফালতু,অর্থ,neutral,High
মহাফালতু,অর্থ,neutral,Low
বালখোর,অর্থ,negative,High
জটিলখোর,অর্থ,positive,High
পুরোপাগল,অর্থ,neutral,High
চুদখোর,অর্থ,negative,Low
চুদটা,অর্থ,negative,Low
পুরোবাল,অর্থ,negative,Medium
মহাচরম,অর্থ,neutral,High
একদমচরম,অর্থ,neutral,Low
চুদবাজ,অর্থ,negative,High
চুদটা,অর্থ,negative,High
পাগলখোর,অর্থ,neutral,Medium
ফালতুবাজ,অর্থ,neutral,High
পুরোচুদ,অর্থ,negative,Low
বেকারটা,অর্থ,negative,Medium
একদমজটিল,অর্থ,positive,Medium
চুদখোর,অর্থ,negative,Low
ফালতুটা,অর্থ,neutral,Low
চরমই,অর্থ,neutral,High
অস্থিরখোর,অর্থ,positive,High
পুরোবাল,অর্থ,negative,Low
একদমজটিল,অর্থ,positive,Medium
মহাঅস্থির,অর্থ,positive,Medium
ফালতুটা,অর্থ,neutral,High
চরমই,অর্থ,neutral,Medium
জটিলখোর,অর্থ,positive,Low
পুরোবেকার,অর্থ,negative,Low
দারুণবাল,অর্থ,negative,High
পাগলখোর,অর্থ,neutral,Medium
জটিলটা,অর্থ,positive,Low
অস্থিরই,অর্থ,positive,High
বেকারবাজ,অর্থ,negative,Medium
পাগলখোর,অর্থ,neutral,Low
অতিচুদ,অর্থ,negative,High
দারুণবাল,অর্থ,negative,Medium
অস্থিরবাজ,অর্থ,positive,Medium
ফালতুই,অর্থ,neutral,Medium
অস্থিরবাজ,অর্থ,positive,Low
ফালতুবাজ,অর্থ,neutral,Low
বালখোর,অর্থ,negative,High
দারুণপাগল,অর্থ,neutral,Medium
চুদবাজ,অর্থ,negative,High
পাগলটা,অর্থ,neutral,Low
জটিলই,অর্থ,positive,Medium
বালই,অর্থ,negative,Medium
একদমঅস্থির,অর্থ,positive,Medium
চুদখোর,অর্থ,negative,High
দারুণচরম,অর্থ,neutral,High
অতিঅস্থির,অর্থ,positive,Medium
একদমঅস্থির,অর্থ,positive,Medium
জটিলটা,অর্থ,positive,High
অতিচুদ,অর্থ,negative,Medium
অতিজটিল,অর্থ,positive,High
চুদটা,অর্থ,negative,High
মহাপাগল,অর্থ,neutral,High
চরমবাজ,অর্থ,neutral,Low
দারুণজটিল,অর্থ,positive,High
চরমবাজ,অর্থ,neutral,Low
পুরোফালতু,অর্থ,neutral,High
দারুণজটিল,অর্থ,positive,Medium
চরমখোর,অর্থ,neutral,Medium
মহাচুদ,অর্থ,negative,Low
অস্থিরই,অর্থ,positive,Medium
বেকারবাজ,অর্থ,negative,Low
একদমপাগল,অর্থ,neutral,High
মহাজটিল,অর্থ,positive,Low
পাগলবাজ,অর্থ,neutral,Medium
পাগলখোর,অর্থ,neutral,Medium
পুরোঅস্থির,অর্থ,positive,High
জটিলই,অর্থ,positive,Low
অস্থিরটা,অর্থ,positive,Medium
অতিচুদ,অর্থ,negative,Medium
একদমফালতু,অর্থ,neutral,High
চুদবাজ,অর্থ,negative,Low
পুরোজটিল,অর্থ,positive,High
মহাঅস্থির,অর্থ,positive,Medium
ফালতুটা,অর্থ,neutral,Medium
চরমটা,অর্থ,neutral,High
চুদই,অর্থ,negative,Low
পুরোবাল,অর্থ,negative,High
অস্থিরটা,অর্থ,positive,Low
মহাপাগল,অর্থ,neutral,Medium
অতিজটিল,অর্থ,positive,Medium
একদমফালতু,অর্থ,neutral,High
বেকারবাজ,অর্থ,negative,High
পুরোজটিল,অর্থ,positive,Medium
একদমচরম,অর্থ,neutral,Low
অতিঅস্থির,অর্থ,positive,Low
মহাপাগল,অর্থ,neutral,Low
পুরোচরম,অর্থ,neutral,High
চুদটা,অর্থ,negative,Medium
অতিচরম,অর্থ,neutral,Medium
অতিচুদ,অর্থ,negative,Medium
একদমজটিল,অর্থ,positive,High
অতিঅস্থির,অর্থ,positive,Medium
চুদই,অর্থ,negative,Medium
দারুণচুদ,অর্থ,negative,High
পাগলবাজ,অর্থ,neutral,Low
একদমপাগল,অর্থ,neutral,Medium
মহাবাল,অর্থ,negative,Medium
পুরোবেকার,অর্থ,negative,Low
অস্থিরখোর,অর্থ,positive,High
ফালতুটা,অর্থ,neutral,Medium
চরমবাজ,অর্থ,neutral,Low
পুরোবাল,অর্থ,negative,High
পাগলই,অর্থ,neutral,Low
জটিলবাজ,অর্থ,positive,High
দারুণচুদ,অর্থ,negative,High
বালবাজ,অর্থ,negative,High
দারুণঅস্থির,অর্থ,positive,Low
বালই,অর্থ,negative,Medium
মহাবেকার,অর্থ,negative,Low
জটিলখোর,অর্থ,positive,Low
অতিজটিল,অর্থ,positive,Low
একদমচরম,অর্থ,neutral,Low
মহাপাগল,অর্থ,neutral,Low
চরমটা,অর্থ,neutral,High
দারুণবেকার,অর্থ,negative,Medium
পুরোঅস্থির,অর্থ,positive,Medium
ফালতুটা,অর্থ,neutral,Medium
মহাজটিল,অর্থ,positive,Low
জটিলখোর,অর্থ,positive,Medium
একদমঅস্থির,অর্থ,positive,Medium
পাগলবাজ,অর্থ,neutral,Medium
একদমফালতু,অর্থ,neutral,High
অতিঅস্থির,অর্থ,positive,Low
ফালতুই,অর্থ,neutral,Medium
ফালতুবাজ,অর্থ,neutral,High
চরমই,অর্থ,neutral,Low
একদমজটিল,অর্থ,positive,Medium
বালবাজ,অর্থ,negative,Medium
অতিপাগল,অর্থ,neutral,Low
চরমই,অর্থ,neutral,High
জটিলই,অর্থ,positive,Low
দারুণপাগল,অর্থ,neutral,Medium
পুরোচরম,অর্থ,neutral,High
জটিলখোর,অর্থ,positive,High
চুদটা,অর্থ,negative,Medium
মহাঅস্থির,অর্থ,positive,Medium
অতিফালতু,অর্থ,neutral,Low
একদমফালতু,অর্থ,neutral,High
চুদই,অর্থ,negative,Medium
একদমপাগল,অর্থ,neutral,High
মহাজটিল,অর্থ,positive,Low
অতিফালতু,অর্থ,neutral,Low
পুরোপাগল,অর্থ,neutral,High
অতিচুদ,অর্থ,negative,High
চরমখোর,অর্থ,neutral,Medium
মহাপাগল,অর্থ,neutral,High
ফালতুবাজ,অর্থ,neutral,Low
পুরোঅস্থির,অর্থ,positive,High
মহাপাগল,অর্থ,neutral,Medium
দারুণচরম,অর্থ,neutral,High
অতিপাগল,অর্থ,neutral,Medium
পুরোবাল,অর্থ,negative,High
ফালতুখোর,অর্থ,neutral,Low
বেকারখোর,অর্থ,negative,High
ফালতুখোর,অর্থ,neutral,High
মহাফালতু,অর্থ,neutral,Low
পুরোপাগল,অর্থ,neutral,High
পুরোপাগল,অর্থ,neutral,Medium
মহাবাল,অর্থ,negative,High
পুরোবাল,অর্থ,negative,Medium
একদমবেকার,অর্থ,negative,Low
বালখোর,অর্থ,negative,Low
ফালতুবাজ,অর্থ,neutral,Medium
চরমই,অর্থ,neutral,High
চরমবাজ,অর্থ,neutral,High
দারুণজটিল,অর্থ,positive,Low
দারুণজটিল,অর্থ,positive,Medium
পুরোপাগল,অর্থ,neutral,Low
চুদবাজ,অর্থ,negative,High
ফালতুটা,অর্থ,neutral,High
বালবাজ,অর্থ,negative,Low
অস্থিরটা,অর্থ,positive,Medium
জটিলটা,অর্থ,positive,Medium
চরমখোর,অর্থ,neutral,Medium
বালবাজ,অর্থ,negative,Low
অতিচরম,অর্থ,neutral,Low
জটিলখোর,অর্থ,positive,Medium
চরমই,অর্থ,neutral,High
অস্থিরখোর,অর্থ,positive,Low
দারুণজটিল,অর্থ,positive,High
অস্থিরটা,অর্থ,positive,Medium
ফালতুবাজ,অর্থ,neutral,Low
পুরোফালতু,অর্থ,neutral,Low
চুদই,অর্থ,negative,Medium
দারুণজটিল,অর্থ,positive,Low
অতিজটিল,অর্থ,positive,Low
মহাঅস্থির,অর্থ,positive,High
একদমপাগল,অর্থ,neutral,Low
চরমটা,অর্থ,neutral,Medium
জটিলখোর,অর্থ,positive,Low
পুরোজটিল,অর্থ,positive,Low
দারুণচরম,অর্থ,neutral,Medium
বালই,অর্থ,negative,Medium
মহাফালতু,অর্থ,neutral,Low
চরমটা,অর্থ,neutral,Low
অতিবাল,অর্থ,negative,Low
অস্থিরটা,অর্থ,positive,High
চুদবাজ,অর্থ,negative,Medium
অস্থিরটা,অর্থ,positive,Medium
মহাচরম,অর্থ,neutral,Low
পুরোপাগল,অর্থ,neutral,Medium
দারুণচরম,অর্থ,neutral,High
দারুণচরম,অর্থ,neutral,Low
দারুণজটিল,অর্থ,positive,Low
চরমটা,অর্থ,neutral,Medium
ফালতুখোর,অর্থ,neutral,Medium
একদমবেকার,অর্থ,negative,Medium
চরমখোর,অর্থ,neutral,Medium
পুরোচুদ,অর্থ,negative,Medium
অতিঅস্থির,অর্থ,positive,Medium
বালই,অর্থ,negative,Medium
একদমচরম,অর্থ,neutral,High
দারুণবেকার,অর্থ,negative,Low
ফালতুটা,অর্থ,neutral,High
পুরোবাল,অর্থ,negative,High
বেকারবাজ,অর্থ,negative,Medium
চরমটা,অর্থ,neutral,High
পাগলবাজ,অর্থ,neutral,Medium
দারুণবেকার,অর্থ,negative,Medium
মহাফালতু,অর্থ,neutral,Low
মহাবেকার,অর্থ,negative,High
অতিঅস্থির,অর্থ,positive,High
অতিঅস্থির,অর্থ,positive,Low
মহাফালতু,অর্থ,neutral,Medium
দারুণচুদ,অর্থ,negative,Medium
পুরোচরম,অর্থ,neutral,Low
অতিচরম,অর্থ,neutral,Low
চরমই,অর্থ,neutral,Medium
দারুণপাগল,অর্থ,neutral,Low
পাগলখোর,অর্থ,neutral,Medium
বেকারবাজ,অর্থ,negative,Medium
জটিলই,অর্থ,positive,High
পাগলটা,অর্থ,neutral,High
ফালতুবাজ,অর্থ,neutral,Medium
জটিলই,অর্থ,positive,Medium
মহাজটিল,অর্থ,positive,Low
চুদটা,অর্থ,negative,Medium
দারুণফালতু,অর্থ,neutral,Medium
বেকারটা,অর্থ,negative,Medium
পাগলখোর,অর্থ,neutral,Medium
অতিচরম,অর্থ,neutral,High
পুরোচুদ,অর্থ,negative,Low
জটিলই,অর্থ,positive,High
অতিবেকার,অর্থ,negative,High
একদমজটিল,অর্থ,positive,High
একদমবেকার,অর্থ,negative,High
একদমচরম,অর্থ,neutral,High
অস্থিরই,অর্থ,positive,Low
দারুণচরম,অর্থ,neutral,Low
বালই,অর্থ,negative,Low
মহাবেকার,অর্থ,negative,Medium
পুরোজটিল,অর্থ,positive,High
একদমচুদ,অর্থ,negative,High
ফালতুটা,অর্থ,neutral,Low
অস্থিরবাজ,অর্থ,positive,Medium
অস্থিরটা,অর্থ,positive,Low
জটিলবাজ,অর্থ,positive,Low
অতিপাগল,অর্থ,neutral,High
একদমবাল,অর্থ,negative,Low
অতিঅস্থির,অর্থ,positive,High
চরমখোর,অর্থ,neutral,High
চুদবাজ,অর্থ,negative,Low
বালই,অর্থ,negative,High
বালই,অর্থ,negative,High
বালটা,অর্থ,negative,Low
মহাবেকার,অর্থ,negative,High
ফালতুখোর,অর্থ,neutral,Low
জটিলটা,অর্থ,positive,Low
বেকারখোর,অর্থ,negative,High
একদমপাগল,অর্থ,neutral,Low
চরমখোর,অর্থ,neutral,Low
দারুণঅস্থির,অর্থ,positive,Low
অস্থিরখোর,অর্থ,positive,Medium
একদমপাগল,অর্থ,neutral,High
বেকারটা,অর্থ,negative,Medium
একদমবাল,অর্থ,negative,Low
পাগলখোর,অর্থ,neutral,High
একদমজটিল,অর্থ,positive,Medium
অতিচুদ,অর্থ,negative,High
ফালতুই,অর্থ,neutral,High
পুরোবেকার,অর্থ,negative,Low
বেকারখোর,অর্থ,negative,Medium
বালটা,অর্থ,negative,Low
একদমচুদ,অর্থ,negative,High
বেকারটা,অর্থ,negative,Low
একদমজটিল,অর্থ,positive,Medium
জটিলখোর,অর্থ,positive,Low
চরমবাজ,অর্থ,neutral,Medium
বেকারবাজ,অর্থ,negative,High
মহাবেকার,অর্থ,negative,Medium
অস্থিরটা,অর্থ,positive,Medium
বেকারটা,অর্থ,negative,Medium
জটিলবাজ,অর্থ,positive,Low
চরমখোর,অর্থ,neutral,High
একদমপাগল,অর্থ,neutral,High
মহাবাল,অর্থ,negative,Low
একদমবাল,অর্থ,negative,High
বেকারটা,অর্থ,negative,High
দারুণবেকার,অর্থ,negative,High
মহাচরম,অর্থ,neutral,High
অস্থিরখোর,অর্থ,positive,Low
ফালতুবাজ,অর্থ,neutral,High
পুরোচুদ,অর্থ,negative,High
বেকারখোর,অর্থ,negative,Medium
মহাফালতু,অর্থ,neutral,Medium
অস্থিরটা,অর্থ,positive,Low
বেকারই,অর্থ,negative,Low
বালবাজ,অর্থ,negative,Medium
চরমই,অর্থ,neutral,Low
পাগলবাজ,অর্থ,neutral,Low
মহাজটিল,অর্থ,positive,Low
বালবাজ,অর্থ,negative,Medium
দারুণবাল,অর্থ,negative,Low
বালখোর,অর্থ,negative,High
একদমবেকার,অর্থ,negative,High
ফালতুটা,অর্থ,neutral,Low
পুরোঅস্থির,অর্থ,positive,Medium
অতিঅস্থির,অর্থ,positive,Low
দারুণচুদ,অর্থ,negative,High
চুদই,অর্থ,negative,Medium
দারুণঅস্থির,অর্থ,positive,High
একদমফালতু,অর্থ,neutral,Medium
বেকারবাজ,অর্থ,negative,Medium
একদমপাগল,অর্থ,neutral,High
মহাফালতু,অর্থ,neutral,High
ফালতুটা,অর্থ,neutral,Low
অস্থিরই,অর্থ,positive,High
একদমবাল,অর্থ,negative,Medium
ফালতুই,অর্থ,neutral,High
অস্থিরবাজ,অর্থ,positive,High
বালই,অর্থ,negative,Low
মহাজটিল,অর্থ,positive,Medium
অস্থিরই,অর্থ,positive,Low
অতিবেকার,অর্থ,negative,Low
অস্থিরখোর,অর্থ,positive,Medium
ফালতুই,অর্থ,neutral,High
অস্থিরখোর,অর্থ,positive,Medium
চুদটা,অর্থ,negative,Low
অতিচরম,অর্থ,neutral,Medium
চুদই,অর্থ,negative,Medium
একদমজটিল,অর্থ,positive,Medium
